STIPCategoryCode,SerieCode,IndicatorLabel,SDMXqueries,Location,STIPCategoryLabel,YEAR
PI013,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Direct financial support|Equity financing,
PI013,VCSEED_XGDP,"Venture capital, seed stage, % of GDP",VC_INVEST/..SEED.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VCSTART_XGDP,"Venture capital, start-up and other early stage, % of GDP",VC_INVEST/..START.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VCLATE_XGDP,"Venture capital, later stage, % of GDP",VC_INVEST/..LATER.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI006,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LC,"R&D labour costs for internal R&D personnel in national currency, million ",GERD_TOE/._T.CUR_LC.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LCPPP,"R&D labour costs for internal R&D personnel in current USD PPP, million",GERD_TOE/._T.CUR_LC.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LCPPPCT,"R&D labour costs for internal R&D personnel in constant USD PPP, million",GERD_TOE/._T.CUR_LC.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OC,"R&D other current costs in national currency, million ",GERD_TOE/._T.CUR_O.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OCPPP,"R&D other current costs in current USD PPP, million",GERD_TOE/._T.CUR_O.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OCPPPCT,"R&D other current costs in constant USD PPP, million",GERD_TOE/._T.CUR_O.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI007,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LC,"R&D labour costs for internal R&D personnel in national currency, million ",GERD_TOE/._T.CUR_LC.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LCPPP,"R&D labour costs for internal R&D personnel in current USD PPP, million",GERD_TOE/._T.CUR_LC.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LCPPPCT,"R&D labour costs for internal R&D personnel in constant USD PPP, million",GERD_TOE/._T.CUR_LC.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OC,"R&D other current costs in national currency, million ",GERD_TOE/._T.CUR_O.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OCPPP,"R&D other current costs in current USD PPP, million",GERD_TOE/._T.CUR_O.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OCPPPCT,"R&D other current costs in constant USD PPP, million",GERD_TOE/._T.CUR_O.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
TG19,LF_NB,"Labour force, civilian, thousand",MSTI_PUB/ALF./all,COU,Economic actors (individuals)|Labour force in general,
TG19,TOTEMP,Total Employment (thousands),MSTI_PUB/TOTEMP./all,COU,Economic actors (individuals)|Labour force in general,
TG19,UNEMP_X1564,Unemployment rate as % of Labour Force,ALFS_SUMTAB/.YGTT06PC_ST.A/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_PPP,"Labour productivity, GDP per hour worked, USD PPPs",PDB_LV/.T_GDPHRS.CPC/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_PPPK,"Labour productivity, GDP per hour worked, constant USD PPPs",PDB_LV/.T_GDPHRS.VPVOB/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_GRO,"Labour productivity, annual growth rate at constant prices, %",PDB_GR/.T_GDPHRS_V.GRW/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,ADTERPOP_XT,"Adult population with tertiary education level, % 25-65 years old",EAG_NEAC/.L5T8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG19,ADUPSECPOP_XT,"Adult population with upper secondary or post secondary not tertiary level education level, % 25-65 years old",EAG_NEAC/.L3T4.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG19,ADBELOSECPOP_XT,"Adult population with below secondary  level, % 25-65 years old",EAG_NEAC/.L0T2.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG17,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Economic actors (individuals)|Private investors,
TG17,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Economic actors (individuals)|Private investors,
TG25,B_XGDP,BERD as a percentage of GDP,MSTI_PUB/B_XGDP./all,COU,Firms by age|Firms of any age,
TG25,G_XEB,BERD as a percentage of total GERD,MSTI_PUB/G_XEB./all,COU,Firms by age|Firms of any age,
